Date,USD_CNY,VND_CNY_1k,Flight_Today,Fixed_Flight,VN_Index,VJ_Today,VJ_Fixed,Fixed_0131,Fixed_0202,Fixed_0213,Fixed_0214,US_Index,CN_Index
6.8087,0.2584,1487.0,2421,1.0,925.46,907.0,,1500,2421,3198,1998.0,7408.5,4135.3892
6.8087,0.2584,1487.0,2421,1.0,921.6,907.0,,1500,2421,3198,1998.0,7408.5,4135.3892
6.8127,0.2585,1487.0,2420,1.0,927.94,0.0,,1500,2420,3198,1998.0,7408.5,4126.3545
6.8012,0.2583,1485.0,2417,1.0,912.93,847.0,,1498,2417,3198,1998.0,7403.0498,4132.4585
6.8005,0.258,1349.0,2416,1913.23,725.0,,1498.0,2416,3198,1998,7419.3799,4162.1846,
2026-05-20,6.8005,0.258,1349,2416.0,1913.23,725.0,,1498,2416,3198,1998.0,7418.6201,4162.1846
